website,link,status
apre_eventi,https://apre.it/eventi/,active
cor_eventi,https://cor.europa.eu/it/events/Pages/default.aspx,active
earlall_eventi,https://www.earlall.eu/event/,active
eib_eventi,https://www.eib.org/en/events/index.htm?q=&sortColumn=relevant&sortDir=desc&pageNumber=0&itemPerPage=25&pageable=true&language=EN&defaultLanguage=EN&pastEvent=true&orpastEvent=true&yearTo=&yearFrom=&orRegions=true&orCountries=true&orSubjects=true&orTags=true,active
eit_eventi,https://eit.europa.eu/news-events/events,active
interreg_eventi,https://www.interregeurope.eu/search/?tx_tevsearch_search%5B__referrer%5D%5B%40extension%5D=TevSearch&tx_tevsearch_search%5B__referrer%5D%5B%40vendor%5D=Tev&tx_tevsearch_search%5B__referrer%5D%5B%40controller%5D=Search&tx_tevsearch_search%5B__referrer%5D%5B%40action%5D=index&tx_tevsearch_search%5B__referrer%5D%5Barguments%5D=YToyOntzOjExOiJlbnRpdHlUeXBlcyI7YToxOntpOjA7czo0OiJuZXdzIjt9czo5OiJmaWx0ZXJNYXAiO3M6MTU6Im5ld3NfYW5kX2V2ZW50cyI7fQ%3D%3Dd24a8395b5c8b63b4e145dc8d9ae52b4381d0347&tx_tevsearch_search%5B__trustedProperties%5D=a%3A12%3A%7Bs%3A9%3A%22filterMap%22%3Bi%3A1%3Bs%3A8%3A%22keywords%22%3Bi%3A1%3Bs%3A11%3A%22entityTypes%22%3Ba%3A2%3A%7Bi%3A0%3Bi%3A1%3Bi%3A1%3Bi%3A1%3B%7Ds%3A15%3A%22eventCategories%22%3Ba%3A4%3A%7Bi%3A0%3Bi%3A1%3Bi%3A1%3Bi%3A1%3Bi%3A2%3Bi%3A1%3Bi%3A3%3Bi%3A1%3B%7Ds%3A13%3A%22eventFromDate%22%3Bi%3A1%3Bs%3A11%3A%22eventToDate%22%3Bi%3A1%3Bs%3A14%3A%22newsCategories%22%3Ba%3A4%3A%7Bi%3A0%3Bi%3A1%3Bi%3A1%3Bi%3A1%3Bi%3A2%3Bi%3A1%3Bi%3A3%3Bi%3A1%3B%7Ds%3A12%3A%22newsFromDate%22%3Bi%3A1%3Bs%3A10%3A%22newsToDate%22%3Bi%3A1%3Bs%3A17%3A%22thematicInterests%22%3Ba%3A4%3A%7Bi%3A0%3Bi%3A1%3Bi%3A1%3Bi%3A1%3Bi%3A2%3Bi%3A1%3Bi%3A3%3Bi%3A1%3B%7Ds%3A8%3A%22sortType%22%3Bi%3A1%3Bs%3A7%3A%22sortDir%22%3Bi%3A1%3B%7Dc8f665d365ff65c39f89e2126abb014d7f61cc88&tx_tevsearch_search%5BfilterMap%5D=news_and_events&tx_tevsearch_search%5Bkeywords%5D=&tx_tevsearch_search%5BentityTypes%5D=&tx_tevsearch_search%5BentityTypes%5D%5B%5D=event&tx_tevsearch_search%5BeventCategories%5D=&tx_tevsearch_search%5BeventFromDate%5D=&tx_tevsearch_search%5BeventToDate%5D=&tx_tevsearch_search%5BnewsCategories%5D=&tx_tevsearch_search%5BnewsFromDate%5D=&tx_tevsearch_search%5BnewsToDate%5D=&tx_tevsearch_search%5BthematicInterests%5D=&tx_tevsearch_search%5Bcountry%5D=&tx_tevsearch_search%5BsortType%5D=&tx_tevsearch_search%5BsortDir%5D=desc,active
jrc_eventi,https://ec.europa.eu/jrc/en/events,active
cpmr_eventi,https://cpmr.org/events/,todo
ecb_events,https://www.ecb.europa.eu/pub/conferences/html/index.en.html,todo
ecdigital_events,https://digital-strategy.ec.europa.eu/en/events,todo
eceducation_eventi,https://ec.europa.eu/education/events_en,todo
ecgeneric_eventi,https://ec.europa.eu/info/events_en?search_api_views_fulltext=&facet__select__field_core_topics=0&facet__select__field_core_location%3Acountry=0&facet__select__field_event_organisers=0&facet__checkboxes__field_event_external_event=on&field_event_date_value_1%5Bdate%5D=&facet__select__field_core_event_collection=0&facet__select__field_core_research_areas=0&facet__select__field_core_priorities=0&facet__select__field_core_policies=0&facet__select__field_core_pri_policy_areas=0&facet__select__field_core_pages=0&facet__select__field_core_departments=0,todo
ecitalia_eventi,https://italy.representation.ec.europa.eu/notizie-ed-eventi/eventi-0_it,todo
euregha_eventi,http://www.euregha.net/calendar/,todo
eusalp_eventi,https://www.alpine-region.eu/events,todo
first_eventi,https://first.aster.it/_aster_/eventi,todo
imi_eventi,https://www.imi.europa.eu/news-events/events,todo
necstour_eventi,http://www.necstour.eu/calendar,todo
parlamento_europeo_thinktank_eventi,https://www.europarl.europa.eu/thinktank/it/upcomingevents.html,todo
promis_eventi,https://www.promisalute.it/servizi/eventi/cerca_fase02.aspx?categoriaVisualizzata=2,todo
slovenian_presidency_events,https://slovenian-presidency.consilium.europa.eu/it/eventi/,todo
